Provider ID,Hospital Name,Summary star rating,ZIP Code,City,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,MORT_30_AMI,PSI_11_POST_RESP,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,PSI_4_SURG_COMP,PSI_14_POSTOP_DEHIS,PSI_6_IAT_PTX,MORT_30_STK,PSI_8_POST_HIP,PSI_13_POST_SEPSIS,PSI_15_ACC_LAC,PSI_90_SAFETY,MORT_30_HF,PSI_3_ULCER,COMP_HIP_KNEE,MORT_30_PN,MORT_30_COPD,PSI_9_POST_HEM,HAI_2_SIR,HAI_6_SIR,HAI_3_SIR,HAI_5_SIR,HAI_4_SIR,HAI_1_SIR,READM_30_PN,READM_30_HF,EDAC_30_HF,READM_30_STK,READM_30_AMI,READM_30_COPD,READM_30_CABG,EDAC_30_AMI,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,MSPB_1,OP_10,OP_13,OP_11,OP_14,OP_8,OP_9,OP_25,OP_17,OP_12,SM_SS_CHECK,SM_PART_GEN_SURG,SM_PART_NURSE,ACS_REGISTRY,OP_4,OP_22,OP_5,OP_21,OP_20
140040,GALESBURG COTTAGE HOSPITAL,3,61401,GALESBURG,IL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,13.2,13.89,4.44,,1.09,,2.23,0.38,13.8,0.1,6.18,0.87,1.04,12.6,0.18,3.2,18.5,7.6,4.55,0.0,2.165,,,,,19.8,21.0,13.1,11.8,,18.4,,,14.8,4.4,1.01,3.3,3.6,0.0,0.4,,10.2,Yes,Yes,Yes,Y,N,N,,99.0,1.0,7.0,38.0,17.0
140043,CGH MEDICAL CENTER,4,61081,STERLING,IL,Acute Care Hospitals,Government - Local,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,14.4,12.39,3.31,,1.07,,2.81,0.41,15.6,0.1,5.79,0.86,0.94,11.6,0.15,2.0,16.2,9.3,4.5,0.0,1.172,1.757,,,0.0,14.9,19.2,-20.5,11.3,16.0,18.2,,-18.0,15.4,3.4,0.96,3.1,4.8,0.0,1.8,34.0,9.3,Yes,Yes,Yes,Y,Y,Y,,97.0,0.0,8.0,34.0,17.0
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,4,62864,MOUNT VERNON,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,16.6,8.86,2.99,4.5,0.97,142.35,2.15,0.41,12.3,0.11,6.65,0.84,0.86,11.4,0.11,3.7,16.6,8.6,4.91,0.486,0.37799999999999995,0.485,0.0,0.0,1.0390000000000001,20.1,25.3,31.9,13.7,16.5,20.7,16.0,5.9,17.0,4.9,1.0,10.2,6.9,0.9,2.8,,6.1,Yes,Yes,Yes,Y,N,Y,,80.0,0.0,13.0,51.0,28.0
140048,ADVOCATE TRINITY HOSPITAL,2,60617,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,13.0,13.12,4.55,,1.07,,2.14,0.35,12.2,0.1,5.98,0.85,1.0,7.7,0.12,2.7,13.7,7.0,4.47,0.797,1.3230000000000002,0.0,1.4769999999999999,,1.208,18.4,22.6,22.1,13.3,16.3,21.1,,15.1,15.4,4.2,1.05,1.0,1.9,1.2,0.4,,6.6,Yes,Yes,Yes,Y,Y,Y,,,6.0,,40.0,45.0
140049,WEST SUBURBAN MEDICAL CENTER,3,60302,OAK PARK,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,12.2,14.13,5.41,,1.29,143.97,2.17,0.5,14.5,0.1,8.49,0.84,1.22,10.6,0.13,2.9,14.1,7.1,5.37,0.451,1.088,1.109,0.0,,0.552,18.3,21.3,-4.9,14.4,16.6,21.7,,10.0,16.9,4.1,0.97,8.8,2.8,1.1,2.0,,11.9,Yes,Yes,Yes,Y,N,Y,,,7.0,,59.0,73.0
140052,OSF SAINT ANTHONY'S HEALTH CENTER,4,62002,ALTON,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,13.7,9.63,3.72,,1.11,,2.22,0.37,15.5,0.1,6.26,0.87,0.91,15.0,0.2,2.9,19.1,7.5,4.52,0.0,0.634,,,,0.0,19.4,22.1,31.7,12.2,16.8,20.7,,-18.8,15.4,4.3,0.98,6.5,5.3,1.5,1.1,,3.6,Yes,Yes,Yes,Y,Y,Y,,100.0,2.0,6.0,28.0,24.0
140053,ST JOHNS HOSPITAL,3,62769,SPRINGFIELD,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,13.1,15.57,3.7,2.2,1.05,132.57,3.5,0.42,13.0,0.11,6.63,0.79,1.08,13.7,0.1,2.7,17.1,10.1,5.09,0.43700000000000006,1.099,0.32799999999999996,1.046,1.349,0.27399999999999997,15.7,20.5,-1.8,11.3,15.5,18.6,13.4,-8.3,14.9,4.0,1.01,7.9,5.0,1.9,2.4,38.6,8.2,Yes,No,No,Y,Y,Y,,,2.0,,74.0,20.0
140054,MACNEAL  HOSPITAL,3,60402,BERWYN,IL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,16.3,10.28,4.89,3.4,1.11,174.25,2.09,0.43,15.3,0.09,6.43,0.83,1.03,10.7,0.34,3.5,19.4,8.5,5.66,1.403,1.025,0.872,0.968,0.0,2.207,18.8,19.8,13.4,13.8,16.6,20.6,14.5,-16.0,16.0,5.6,1.05,5.5,3.3,2.2,1.5,43.2,10.5,Yes,Yes,Yes,Y,Y,Y,,,1.0,,39.0,22.0
140058,PASSAVANT AREA HOSPITAL,4,62650,JACKSONVILLE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,,9.32,4.14,,1.1,,2.18,0.38,14.7,0.12,5.54,0.86,0.92,12.6,0.18,2.4,20.0,10.6,6.51,0.685,0.5770000000000001,,,,,16.6,21.0,-24.9,11.7,,18.2,,,14.5,4.4,0.93,7.6,0.9,0.1,2.5,50.8,7.0,Yes,Yes,Yes,Y,Y,Y,,96.0,2.0,9.0,39.0,24.0
140059,JERSEY COMMUNITY HOSPITAL,4,62052,JERSEYVILLE,IL,Acute Care Hospitals,Government - Local,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,14.0,11.25,4.11,,1.12,,,0.45,13.7,0.1,5.81,,0.97,14.9,0.23,2.8,16.6,6.7,4.68,,,,,,,16.1,21.2,-8.7,12.2,,19.7,,,14.9,4.0,1.05,14.2,,4.8,,50.0,7.2,Yes,Yes,Yes,Y,N,N,,100.0,1.0,5.0,54.0,20.0
140062,PALOS COMMUNITY HOSPITAL,4,60463,PALOS HEIGHTS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,12.0,10.26,5.81,2.0,1.09,115.2,1.96,0.33,12.5,0.11,4.53,0.75,0.9,9.7,0.04,2.8,12.5,4.7,4.63,0.517,1.041,0.6409999999999999,0.848,,0.6459999999999999,16.7,22.1,10.4,10.2,15.9,19.1,15.9,13.7,15.0,4.5,1.0,3.5,6.3,0.1,1.2,48.1,9.7,Yes,Yes,Yes,Y,N,Y,,91.0,1.0,7.0,54.0,34.0
140063,RUSH OAK PARK HOSPITAL,4,60304,OAK PARK,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,13.4,10.4,3.73,,1.08,147.75,2.8,0.36,13.1,0.1,5.15,1.29,0.87,11.1,0.14,3.4,13.3,6.2,4.52,,1.169,2.441,,,0.0,19.5,21.0,-7.1,11.8,16.3,18.8,,11.5,15.4,4.5,1.0,7.6,5.3,1.2,1.0,,11.5,Yes,Yes,Yes,Y,Y,Y,,,2.0,,25.0,29.0
140064,ST MARY MEDICAL CENTER,4,61401,GALESBURG,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,15.1,13.18,3.63,,1.1,,2.2,0.37,15.2,0.1,6.19,0.86,0.99,13.2,0.18,2.5,20.4,8.8,4.47,1.625,1.386,,,,,16.6,20.8,-12.4,12.2,16.4,19.9,,-3.3,15.5,4.9,1.03,7.1,3.6,1.1,1.1,39.7,8.5,Yes,Yes,Yes,Y,Y,Y,,98.0,3.0,7.0,44.0,16.0
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,4,60525,LA GRANGE,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,13.6,14.26,3.29,2.7,0.99,136.75,2.1,0.32,14.7,0.11,6.62,0.83,0.99,10.2,0.09,2.4,15.1,7.1,4.51,1.5659999999999998,0.56,0.777,1.581,,0.78,16.1,20.2,-18.8,10.3,16.7,17.9,13.8,-8.7,14.7,4.5,1.08,4.2,4.1,9.4,2.9,39.8,9.5,Yes,Yes,Yes,Y,Y,Y,,,1.0,,40.0,21.0
140067,SAINT FRANCIS MEDICAL CENTER,4,61637,PEORIA,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,13.5,15.03,2.46,2.6,1.34,154.85,2.21,0.5,15.0,0.09,8.33,0.72,1.09,13.1,0.06,3.6,19.9,7.5,5.0,0.87,1.271,1.2409999999999999,0.6579999999999999,0.835,1.018,18.9,22.2,21.4,12.5,15.0,17.5,13.0,-1.5,16.1,5.2,0.96,2.6,3.8,0.1,1.2,39.9,8.2,Yes,Yes,Yes,Y,Y,Y,,,2.0,,27.0,42.0
140068,ROSELAND COMMUNITY HOSPITAL,1,60628,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,,,,4.19,,,,,0.38,,0.1,,,0.97,11.1,0.2,,16.3,10.3,4.69,,0.51,,,,,18.6,21.0,-10.9,,,18.8,,,15.5,,1.0,39.0,,,0.6,,0.0,Yes,Yes,Yes,Y,N,N,,89.0,5.0,20.0,108.0,84.0
140077,TOUCHETTE REGIONAL HOSPITAL INC,3,62207,CENTREVILLE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Below the national average,,,,,,,,,0.39,,0.1,,,1.06,12.4,0.23,,15.3,8.2,,,0.0,,,,,17.8,22.2,19.2,,,20.1,,,16.0,,0.95,9.1,,,0.7,,11.1,Yes,Yes,Yes,Y,N,N,,95.0,6.0,18.0,110.0,62.0
140080,PRESENCE SAINT FRANCIS HOSPITAL,2,60202,EVANSTON,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,13.5,12.24,5.94,,1.07,138.99,2.11,0.37,13.6,0.1,5.62,0.84,1.03,10.5,0.1,2.5,16.5,6.4,5.24,0.86,0.764,0.639,0.0,,0.6829999999999999,19.5,22.3,11.6,13.1,17.1,23.0,,48.4,18.1,5.2,1.05,5.8,6.0,0.6,2.3,50.0,9.4,Yes,Yes,Yes,Y,Y,Y,,,2.0,,62.0,24.0
140082,LOUIS A WEISS MEMORIAL HOSPITAL,2,60640,CHICAGO,IL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,11.9,17.73,4.75,,1.48,130.03,2.73,0.62,13.2,0.09,6.78,0.85,1.3,11.2,0.47,5.1,13.8,7.9,5.03,0.303,1.874,1.626,1.6580000000000001,,1.082,17.2,20.4,-6.0,12.4,15.6,18.2,,-23.9,16.2,5.8,1.16,13.3,6.8,0.3,,,5.6,Yes,Yes,Yes,Y,N,N,,,2.0,,38.0,30.0
140084,VISTA MEDICAL CENTER EAST,2,60085,WAUKEGAN,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,14.8,12.34,4.86,3.9,1.06,145.2,2.17,0.32,15.8,0.1,6.04,1.28,1.0,10.9,0.1,2.8,17.0,6.8,4.79,0.6629999999999999,0.6940000000000001,0.0,0.0,,0.917,17.5,21.7,13.2,12.9,15.4,20.1,12.9,11.7,15.5,4.6,1.03,5.6,1.6,0.8,2.6,45.0,6.3,Yes,No,No,Y,N,Y,,100.0,4.0,8.0,54.0,21.0
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,4,60637,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,13.9,11.09,5.33,1.8,0.67,136.61,2.71,0.34,13.6,0.11,6.81,0.68,0.97,10.8,0.05,3.6,16.9,6.4,3.23,0.838,1.023,0.42100000000000004,0.41600000000000004,0.958,0.687,18.9,21.0,12.6,13.5,17.4,18.4,13.7,25.0,16.0,4.8,1.05,6.6,6.7,0.1,1.5,40.4,5.0,Yes,Yes,Yes,Y,Y,Y,,,7.0,,19.0,44.0
140089,MC DONOUGH DISTRICT HOSPITAL,4,61455,MACOMB,IL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,,12.2,3.86,,1.11,,3.43,0.39,16.6,0.1,5.66,0.87,0.98,11.4,0.21,2.9,19.4,8.6,5.62,,0.359,,,,,17.0,20.2,-7.3,12.2,,18.6,,,15.0,4.1,0.97,55.5,,13.3,0.0,,6.1,Yes,Yes,Yes,Y,N,Y,,96.0,2.0,13.0,48.0,16.0
140091,THE CARLE FOUNDATION HOSPITAL,4,61801,URBANA,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,13.6,12.49,4.41,4.6,1.2,149.07,2.46,0.49,16.0,0.09,5.01,0.78,1.01,11.2,0.32,4.3,14.9,8.0,4.66,1.432,1.219,1.76,0.904,2.11,0.561,17.8,20.5,-5.0,11.6,15.5,20.1,13.6,5.1,15.5,4.6,1.0,11.0,6.6,0.2,1.2,37.2,6.4,Yes,Yes,Yes,Y,Y,Y,,,1.0,,44.0,28.0
140093,PRESENCE UNITED SAMARITANS MEDICAL CENTER,3,61832,DANVILLE,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,13.8,10.16,4.31,,1.11,,,0.36,16.1,0.1,5.73,,0.91,11.4,0.13,2.7,16.8,5.9,4.63,0.55,1.425,,,,0.555,20.4,23.8,16.4,11.5,16.0,19.8,,-12.0,15.2,4.5,0.98,8.2,2.6,1.6,1.9,47.1,12.4,Yes,Yes,Yes,Y,N,N,,94.0,3.0,8.0,42.0,29.0
140095,SAINT ANTHONY HOSPITAL,2,60623,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,,12.8,14.68,4.63,,1.11,,2.23,0.38,,0.1,5.66,0.87,1.05,10.8,0.18,,13.6,8.1,4.62,0.743,0.7879999999999999,,,,0.818,20.6,22.8,10.9,,,20.0,,,16.2,4.3,1.04,3.7,,0.0,,,3.9,Yes,Yes,Yes,Y,N,N,,,3.0,,52.0,68.0
140100,MIDWESTERN REGION MED CENTER,5,60099,ZION,IL,Acute Care Hospitals,Proprietary,Yes,Y,,Same as the national average,,Same as the national average,Same as the national average,,,7.71,4.42,,1.09,,2.21,0.39,,0.1,5.82,0.87,0.88,,0.23,,,,4.54,,1.639,1.22,0.0,,0.0,,,,,,,,,15.3,,0.95,31.8,,0.0,,,4.6,Yes,Yes,Yes,Y,N,Y,,,5.0,,,20.0
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,4,60450,MORRIS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,14.5,,5.07,,,,2.23,0.35,14.7,0.1,,0.86,1.07,13.0,0.49,2.2,21.5,8.2,5.12,0.0,1.858,,,,0.649,16.1,24.2,12.1,11.2,17.4,19.1,,21.8,15.2,3.6,0.99,10.1,8.0,0.7,2.4,42.9,6.9,Yes,Yes,Yes,Y,N,N,,,1.0,,38.0,18.0
140103,ST BERNARD HOSPITAL,1,60621,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,,14.2,,4.07,,,,,0.37,,0.1,,,0.97,9.7,0.19,,15.2,9.5,4.69,0.0,1.12,,0.0,,1.5959999999999999,19.8,24.9,34.6,,,22.8,,,17.2,,1.03,0.0,,,,,3.9,Yes,Yes,Yes,Y,N,N,,95.0,10.0,22.0,93.0,35.0
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,3,61350,OTTAWA,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,13.2,13.19,4.48,,1.1,,2.2,0.37,15.9,0.1,6.11,0.86,1.03,12.9,0.18,,19.3,9.8,4.9,,1.55,0.0,,,,16.7,21.2,12.5,11.5,,22.3,,,15.2,,0.96,8.3,5.5,0.7,0.4,44.9,12.2,Yes,Yes,Yes,Y,Y,Y,,97.0,1.0,8.0,33.0,10.0
140113,PRESENCE COVENANT MEDICAL CENTER,3,61801,URBANA,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,12.6,8.4,3.28,3.5,1.02,,2.16,0.35,13.7,0.1,5.34,0.83,0.8,14.1,0.15,2.5,19.9,8.1,4.51,0.0,0.767,0.835,0.67,,2.447,18.1,23.2,12.9,12.5,17.5,20.2,13.8,23.4,16.7,4.4,0.95,1.5,2.0,1.2,1.4,,8.6,Yes,Yes,Yes,Y,Y,N,,,1.0,,35.0,27.0
140114,SWEDISH COVENANT HOSPITAL,3,60625,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,12.4,14.12,5.56,2.4,1.01,135.33,2.14,0.55,13.3,0.1,6.77,1.26,1.13,9.6,0.08,2.8,13.8,6.3,4.81,1.365,0.754,1.501,0.597,,1.179,18.4,23.1,27.6,12.1,16.9,21.8,14.0,49.9,15.6,4.8,1.02,10.1,6.5,3.7,1.1,45.1,6.0,Yes,Yes,Yes,Y,Y,Y,,100.0,4.0,8.0,76.0,31.0
140115,THOREK MEMORIAL HOSPITAL,2,60613,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,,12.92,4.71,,1.1,,,0.43,,0.12,5.68,,1.02,11.3,0.19,,14.4,7.0,4.64,2.66,0.7090000000000001,,,,1.712,18.4,22.2,10.2,,,20.1,,,15.8,,1.0,10.7,3.6,0.0,,,15.7,Yes,Yes,Yes,Y,N,N,,92.0,0.0,21.0,44.0,7.0
140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,4,60050,MCHENRY,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,13.3,6.87,3.77,2.9,1.14,119.82,2.16,0.35,14.5,0.11,6.66,0.83,0.84,11.6,0.08,2.3,13.1,7.3,4.66,0.204,0.8029999999999999,0.0,0.429,,0.0,16.4,19.4,-24.6,11.8,14.7,18.1,13.2,-8.0,14.5,4.1,1.03,6.3,5.8,1.3,1.5,39.2,7.9,Yes,Yes,Yes,Y,N,Y,,,2.0,,56.0,33.0
140117,PRESENCE RESURRECTION MEDICAL CENTER,3,60631,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,12.0,7.45,2.52,3.2,1.21,133.99,2.46,0.35,15.3,0.09,8.0,0.78,0.84,10.8,0.06,2.6,13.5,6.8,3.96,0.885,1.1340000000000001,0.26899999999999996,0.613,,0.943,15.9,23.3,21.3,12.9,16.3,19.6,14.3,26.3,15.0,4.3,1.16,8.9,3.4,1.0,1.5,35.0,6.3,Yes,Yes,Yes,Y,Y,Y,,,1.0,,48.0,16.0
140118,METROSOUTH MEDICAL CENTER,2,60406,BLUE ISLAND,IL,Acute Care Hospitals,Proprietary,Yes,Y,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,14.4,17.74,6.38,,1.07,154.2,2.18,0.34,11.5,0.1,5.13,0.85,1.16,10.7,0.12,3.0,14.8,6.6,4.72,0.0,0.828,0.742,0.0,,0.0,20.6,23.9,25.5,14.4,17.4,20.2,,43.7,15.4,5.6,1.03,8.3,3.2,5.8,0.9,,4.2,Yes,Yes,Yes,Y,N,N,,,3.0,,95.0,29.0
140119,RUSH UNIVERSITY MEDICAL CENTER,4,60612,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,12.8,6.31,4.35,2.8,1.04,117.08,1.89,0.28,13.8,0.09,4.33,0.72,0.74,7.8,0.19,3.3,11.4,6.3,4.02,0.746,1.2670000000000001,1.963,0.523,1.706,0.792,17.1,24.5,16.6,15.0,17.2,19.5,14.4,13.5,15.9,4.3,0.99,6.6,6.3,5.1,1.4,,10.8,Yes,Yes,Yes,Y,Y,Y,Y,,6.0,,80.0,48.0
140120,PEKIN MEMORIAL HOSPITAL,3,61554,PEKIN,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,13.5,16.42,4.24,,1.1,,2.2,0.48,13.8,0.12,5.5,0.86,1.09,12.9,0.16,2.5,15.0,7.6,5.17,0.9790000000000001,0.48,,,,,17.3,23.0,26.6,11.8,17.0,22.1,,-12.2,16.4,4.5,0.99,8.5,4.7,0.2,,50.0,16.4,Yes,No,No,Y,N,N,,100.0,17.0,8.0,44.0,22.0
140122,ADVENTIST HINSDALE HOSPITAL,4,60521,HINSDALE,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,11.8,6.69,5.63,2.7,1.18,125.26,2.11,0.36,14.1,0.1,4.08,0.82,0.79,10.1,0.1,2.5,13.3,9.3,3.8,0.0,0.6609999999999999,0.775,0.366,0.0,0.573,16.7,20.2,-3.0,12.9,16.6,18.6,13.7,7.0,15.0,4.6,1.07,9.0,4.9,11.7,1.6,33.3,9.8,Yes,Yes,Yes,Y,Y,Y,,,1.0,,42.0,22.0
140124,JOHN H STROGER JR HOSPITAL,2,60612,CHICAGO,IL,Acute Care Hospitals,Government - Local,No,Y,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,12.4,5.73,4.41,,1.05,,2.14,0.53,12.8,0.1,5.3,0.84,1.01,10.3,1.21,,14.1,7.1,4.2,0.879,0.765,0.701,1.111,1.881,0.502,18.7,22.9,0.4,12.1,16.9,20.7,,25.6,17.4,,0.82,6.9,3.7,0.0,,,6.1,Yes,Yes,Yes,Y,Y,N,,,5.0,,50.0,46.0
140125,GATEWAY REGIONAL MEDICAL CENTER,2,62040,GRANITE CITY,IL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,14.1,10.2,5.08,,1.11,,,0.42,15.2,0.1,5.65,,0.96,14.7,0.17,2.2,15.1,9.2,4.56,0.0,0.452,,0.943,,0.0,17.7,22.9,36.0,12.2,16.3,23.5,,20.1,15.8,5.0,1.0,10.7,,4.7,,38.8,6.8,Yes,Yes,Yes,Y,N,N,,100.0,2.0,0.0,75.0,26.0
140127,ADVOCATE BROMENN MEDICAL CENTER,4,61761,NORMAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,14.3,12.06,4.19,3.3,1.07,,2.18,0.35,15.9,0.1,4.91,0.85,0.92,16.1,0.15,2.2,15.8,8.1,4.34,2.1069999999999998,1.475,2.364,0.753,0.0,0.0,14.9,21.8,-10.8,11.0,15.1,20.7,13.6,-35.0,14.4,3.8,0.96,16.3,5.5,11.2,,48.6,4.3,Yes,Yes,Yes,Y,Y,Y,Y,,2.0,,52.0,16.0
140130,NORTHWESTERN LAKE FOREST HOSPITAL,4,60045,LAKE FOREST,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,11.6,13.85,4.16,,1.08,,2.18,0.5,13.7,0.1,5.39,0.85,1.04,8.7,0.2,3.4,14.4,7.1,6.06,1.4469999999999998,0.397,0.574,,2.622,0.0,16.2,21.0,-9.1,11.5,15.7,19.2,,14.2,15.1,5.2,0.99,12.2,3.9,0.3,2.8,39.1,12.4,Yes,Yes,Yes,Y,Y,Y,,85.0,1.0,9.0,32.0,12.0
140133,HOLY CROSS HOSPITAL,2,60629,CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,12.8,11.99,5.92,,1.09,,2.8,0.34,13.5,0.1,5.5,0.86,1.01,9.3,0.12,2.6,14.9,8.0,4.41,0.988,0.664,,1.156,,1.78,17.9,26.3,52.9,14.6,16.5,21.5,,66.2,16.3,4.3,1.08,1.1,14.9,2.9,2.6,,13.1,Yes,Yes,Yes,Y,N,N,,91.0,4.0,16.0,70.0,54.0
140135,DECATUR MEMORIAL HOSPITAL,3,62526,DECATUR,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,14.8,6.17,4.77,4.9,0.96,123.28,2.04,0.32,14.8,0.09,3.32,0.81,0.69,9.0,0.07,2.1,14.6,10.6,3.8,0.981,1.599,0.804,0.632,,0.96,14.7,19.7,6.3,10.8,16.2,20.4,12.2,-5.3,13.7,3.7,0.98,6.4,5.7,1.6,1.5,32.1,14.4,Yes,Yes,Yes,Y,Y,Y,,,2.0,,80.0,26.0
140137,GREENVILLE REGIONAL HOSPITAL,4,62246,GREENVILLE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,0.39,,0.1,,,1.0,12.7,0.24,,16.3,7.2,,,,,,,,16.6,20.8,6.4,,,18.7,,,15.9,,1.01,4.8,,3.2,0.6,,11.7,Yes,Yes,Yes,Y,N,Y,,91.0,1.0,6.0,22.0,21.0
