Summary star rating,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,OP_12,SM_PART_NURSE,OP_17,SM_PART_GEN_SURG,SM_SS_CHECK,OP_25,MORT_30_PN,PSI_11_POST_RESP,PSI_6_IAT_PTX,PSI_13_POST_SEPSIS,COMP_HIP_KNEE,PSI_3_ULCER,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,MORT_30_STK,PSI_14_POSTOP_DEHIS,MORT_30_HF,PSI_90_SAFETY,PSI_15_ACC_LAC,MORT_30_COPD,PSI_8_POST_HIP,MORT_30_AMI,PSI_4_SURG_COMP,PSI_9_POST_HEM,HAI_1_SIR,HAI_3_SIR,HAI_2_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,EDAC_30_AMI,READM_30_AMI,EDAC_30_HF,READM_30_CABG,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,READM_30_COPD,READM_30_STK,READM_30_HF,READM_30_PN,MSPB_1,OP_10,OP_8,OP_13,OP_9,OP_14,OP_11,OP_20,OP_21,OP_22,OP_5,OP_4
2,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.4,13.05,0.35,4.3,2.3,0.1,3.17,,1.16,17.3,2.02,12.5,0.87,0.79,7.9,0.11,13.4,127.89,4.53,0.0,0.905,0.0,,0.486,0.6809999999999999,-2.5,15.4,8.8,,15.5,4.4,17.8,11.2,21.6,16.2,0.95,9.3,34.1,7.9,10.2,0.9,3.6,11.0,43.0,1.0,10.0,96.0
3,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,13.6,14.17,0.46,6.11,3.0,0.11,4.31,,1.09,15.6,2.09,11.3,1.04,0.83,9.5,0.11,13.6,135.18,4.81,0.235,0.306,1.48,0.997,1.894,0.852,9.5,16.6,33.1,,15.5,4.5,19.5,11.2,25.9,16.8,1.05,7.3,42.2,10.4,15.9,0.9,0.0,10.0,44.0,0.0,,
2,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,,Yes,N,Yes,N,Y,Yes,18.8,10.63,0.36,5.78,2.0,0.16,4.38,,1.11,21.5,2.23,11.0,0.93,0.87,8.5,0.1,,,4.29,0.8440000000000001,,1.22,,0.529,0.406,,,25.2,,15.2,5.0,19.7,12.7,23.8,17.5,1.11,0.9,,,8.7,,,27.0,61.0,1.0,20.0,94.0
4,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Yes,Y,Yes,Y,Y,Yes,14.1,12.23,0.37,10.7,2.2,0.29,4.49,2.6,1.24,13.1,2.87,10.8,1.23,0.72,7.6,0.09,14.0,117.38,4.7,1.374,0.655,0.89,1.753,0.0,0.962,-17.9,15.1,44.8,14.5,15.8,3.2,19.9,12.0,23.2,17.9,0.95,21.0,39.0,,13.5,1.4,0.4,14.0,48.0,0.0,,
2,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Yes,N,Yes,N,Y,Yes,17.9,14.34,0.45,7.64,2.8,0.06,4.61,,1.01,15.0,1.97,12.7,1.12,0.79,8.9,0.12,13.4,166.58,5.35,1.157,0.391,0.8740000000000001,,2.211,1.163,3.8,16.3,2.8,,14.9,4.9,20.1,10.8,22.2,16.5,1.01,1.7,,5.4,,2.4,1.3,59.0,20.0,1.0,,
2,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,12.6,17.74,0.36,6.45,3.9,0.17,4.46,,1.08,15.3,2.21,10.0,1.15,0.86,7.2,0.1,14.1,,4.56,,,0.7340000000000001,,0.0,0.68,18.0,16.3,35.7,,16.4,5.1,18.7,11.9,24.0,17.3,1.06,17.6,,6.1,12.6,,4.7,18.0,49.0,1.0,1.0,100.0
4,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.5,12.78,0.41,5.1,2.0,0.53,3.45,,1.09,13.8,2.2,12.1,1.0,0.86,8.8,0.1,14.9,,4.56,1.894,0.0,,,,0.375,-17.5,15.6,7.6,,14.9,3.3,20.0,12.5,23.4,17.4,0.97,8.1,37.3,3.3,8.0,2.1,4.7,37.0,70.0,1.0,6.0,100.0
3,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,14.3,15.38,0.42,6.11,2.0,0.14,4.77,,1.11,13.8,2.77,9.1,1.1,0.86,6.7,0.1,14.4,,4.95,1.521,1.786,0.807,,2.246,0.503,,,16.8,,15.9,3.9,21.5,11.6,20.7,17.0,1.04,1.5,,,,,0.0,25.0,41.0,1.0,10.0,100.0
3,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,No,Y,Y,Yes,15.8,13.52,0.36,6.71,2.4,0.14,4.04,,1.1,14.1,2.21,13.0,1.03,0.86,8.9,0.1,13.7,,4.63,0.0,0.6729999999999999,1.429,,,0.95,-16.0,15.7,-10.3,,14.5,3.9,18.1,12.4,20.4,14.7,1.06,5.7,,5.1,6.9,2.2,1.7,19.0,41.0,1.0,,
1,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.4,,0.37,,,0.16,4.55,,,14.9,2.2,13.6,0.94,0.86,6.6,0.1,13.3,,4.61,0.64,,1.696,,1.516,1.024,-28.0,16.1,31.3,,15.8,,19.0,12.8,22.3,19.1,1.05,5.8,,1.9,13.2,1.1,8.5,21.0,50.0,2.0,4.0,100.0
3,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,14.7,10.5,0.39,5.52,2.3,0.11,3.82,,1.05,13.7,2.19,12.3,0.9,0.85,7.5,0.1,14.7,144.24,5.27,0.889,1.136,1.119,1.523,0.546,0.506,-32.8,16.0,-28.0,,16.6,5.0,19.8,11.8,18.6,17.4,0.97,2.7,,4.8,9.8,1.5,0.0,33.0,60.0,2.0,,
4,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,13.6,,0.4,,,0.24,,,,,,10.6,0.99,,6.9,0.1,,,,,,,,,,,,-36.2,,15.0,,18.2,,19.3,16.3,0.97,7.2,,,5.8,,2.6,28.0,49.0,1.0,14.0,94.0
3,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,,Yes,Y,Yes,Y,Y,Yes,11.7,11.85,0.37,6.34,,0.47,4.78,,1.11,14.3,2.19,10.3,1.07,0.86,7.0,0.1,13.3,,4.84,2.597,1.005,1.246,,0.531,0.584,-29.2,15.9,21.5,,15.0,,18.9,13.7,21.3,16.9,0.95,1.2,,,,,0.0,45.0,45.0,2.0,7.0,100.0
4,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,13.5,13.44,0.37,6.48,3.2,0.15,5.81,,1.09,11.6,2.17,13.4,1.09,0.85,7.2,0.13,14.5,,4.33,,0.417,,,,0.995,29.0,16.0,13.5,,14.9,5.1,20.2,11.9,21.6,16.7,0.99,5.0,,7.1,8.5,1.1,0.3,24.0,24.0,1.0,7.0,98.0
4,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.1,9.53,0.35,6.27,2.5,0.13,3.91,,1.1,13.6,2.2,11.7,0.9,0.86,6.5,0.11,15.7,,4.42,,0.563,0.0,,0.0,0.937,15.0,16.1,13.4,,15.9,6.2,21.2,12.3,21.9,18.4,1.02,2.5,,5.0,6.0,0.7,0.0,15.0,18.0,0.0,6.0,96.0
4,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,14.4,14.26,0.42,6.91,2.1,0.16,3.07,,1.31,14.1,2.19,9.6,1.04,0.86,7.4,0.1,14.2,,4.41,1.014,0.481,0.818,,,0.5,33.0,16.9,5.8,,15.8,4.1,18.7,13.1,20.1,16.4,1.01,10.6,,,8.2,2.7,10.8,12.0,45.0,0.0,,
2,FL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.0,,0.45,,,0.21,4.22,,,,,10.8,0.98,,7.1,0.1,,,4.73,,,,,,0.0,,,-17.7,,15.4,,18.5,,22.0,17.4,0.97,4.4,,,,,2.6,3.0,26.0,0.0,9.0,99.0
4,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.8,10.15,0.36,7.7,4.7,0.15,5.09,,1.1,13.3,2.21,10.0,1.04,0.86,6.8,0.1,13.4,,5.1,0.0,0.617,0.0,,,1.075,,,-11.4,,15.0,6.4,19.2,12.7,22.2,16.3,0.97,9.4,34.8,6.9,12.9,2.0,0.5,42.0,88.0,2.0,4.0,100.0
2,FL,Acute Care Hospitals,Proprietary,Yes,Y,,,,Same as the national average,Above the national average,,No,Y,No,N,Y,No,,,0.4,,,0.25,,,,,,,1.0,,,0.1,,,,,,,,,,,,,,15.8,,,,,,0.87,1.7,,,,,,26.0,,2.0,,
3,FL,Critical Access Hospitals,Proprietary,Yes,Y,Same as the national average,,Above the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,No,N,Y,Yes,18.0,,,,,,,,,,,10.7,,,8.8,,13.3,,,,,,,,0.424,,,-13.2,,14.3,,20.0,,19.8,15.0,,2.4,,4.4,6.7,0.6,1.6,14.0,56.0,3.0,6.0,99.0
3,FL,Critical Access Hospitals,Proprietary,Yes,Y,Same as the national average,,Same as the national average,,,,,N,,N,Y,,15.4,,,,,,,,,,,11.0,,,7.6,,,,,,,,,,0.0,,,-11.9,,17.0,,21.6,,20.9,17.4,,,,,,,,,,,,
5,FL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,,Yes,,,Yes,15.9,,,,,,,,,,,11.4,,,7.5,,,,,,,,,,,,,-28.5,,14.4,,18.5,,20.4,16.1,,3.3,,7.0,10.1,0.8,0.6,17.0,41.0,1.0,5.0,98.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,17.4,12.62,0.42,5.42,2.7,0.1,3.58,,1.06,15.1,2.1,10.4,0.93,0.84,8.8,0.1,13.7,158.91,4.5,2.166,0.0,0.613,,1.679,0.858,-13.9,15.3,-0.2,,14.1,5.4,19.9,12.3,20.0,16.3,0.94,8.1,36.9,4.7,7.7,0.2,5.7,44.0,56.0,3.0,9.0,96.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,No,N,Y,Yes,19.6,,0.43,,3.1,0.18,3.66,,,15.0,2.2,14.4,0.95,0.86,8.6,0.1,16.2,,4.45,,1.896,0.0,,,1.419,,,-0.3,,16.3,4.4,21.5,12.8,20.4,16.9,0.97,9.1,,6.2,7.1,1.4,4.2,30.0,58.0,2.0,7.0,98.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,18.9,19.51,0.47,7.7,3.4,0.13,5.0,,1.3,14.5,2.19,11.6,1.29,0.86,8.7,0.1,13.1,,4.63,0.272,0.0,0.693,,0.738,0.461,16.2,16.8,33.3,,15.8,5.6,19.1,12.7,23.2,19.1,0.95,5.1,27.6,3.8,5.1,2.4,0.4,41.0,61.0,4.0,9.0,100.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,No,N,Y,Yes,19.1,14.64,0.42,9.88,3.5,0.09,3.36,,1.41,16.7,2.07,11.7,1.18,0.81,8.4,0.09,14.9,147.64,4.44,0.215,0.642,0.831,0.35700000000000004,0.0,0.835,4.9,15.3,13.6,,15.4,3.8,21.6,13.2,20.5,18.4,0.95,9.1,41.0,10.7,10.0,0.9,0.3,16.0,42.0,1.0,3.0,96.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,16.8,19.9,0.44,5.72,2.7,0.14,3.34,,1.06,17.3,2.13,12.0,1.13,0.85,9.4,0.1,14.2,,4.73,2.401,0.0,0.718,,1.719,0.706,-11.3,15.3,-26.5,,15.0,3.9,17.1,11.0,19.8,17.1,1.0,5.6,43.3,4.0,6.7,1.4,0.0,28.0,60.0,1.0,,
2,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Yes,Y,Yes,Y,Y,Yes,20.8,9.41,0.43,8.32,2.9,0.26,4.48,4.5,1.92,16.1,2.02,14.2,1.08,0.8,10.5,0.09,15.1,159.38,4.08,1.138,0.335,1.259,1.276,1.5659999999999998,0.727,11.8,15.5,0.2,14.4,14.3,3.7,22.6,13.2,20.2,17.1,0.98,4.7,39.0,4.9,4.5,1.5,0.2,37.0,87.0,6.0,,
4,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Yes,Y,No,N,Y,Yes,17.2,17.27,0.35,7.41,3.6,0.13,3.91,,1.07,16.4,2.11,15.1,1.15,1.25,10.4,0.1,14.1,145.8,4.88,0.506,1.162,0.921,3.3560000000000003,1.517,0.7809999999999999,17.8,17.3,16.0,,15.4,4.8,19.2,11.9,20.8,15.3,1.01,10.8,46.7,4.5,10.5,1.9,1.4,25.0,49.0,1.0,1.0,100.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,14.0,10.3,0.39,4.91,2.4,0.29,5.34,2.6,1.38,16.5,1.77,9.9,0.98,0.63,7.5,0.09,11.7,101.13,5.19,1.499,1.3159999999999998,0.7859999999999999,0.0,1.26,1.5630000000000002,6.8,15.2,3.6,12.2,15.6,3.1,21.0,10.4,20.6,18.2,0.96,11.2,35.4,7.4,8.7,0.6,0.0,34.0,103.0,4.0,18.0,74.0
4,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,19.6,20.38,0.43,4.48,2.2,0.3,3.77,,1.05,18.9,3.29,13.4,1.16,1.25,9.9,0.1,13.5,126.24,5.49,0.7859999999999999,0.541,0.647,,2.966,0.259,4.3,16.2,13.7,,15.9,4.2,20.3,11.4,23.9,18.6,1.02,5.4,53.3,4.8,5.4,0.5,1.9,24.0,14.0,2.0,6.0,93.0
4,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,19.2,,0.38,,,0.69,4.16,,,14.0,,13.0,1.11,,7.9,0.1,14.4,,5.05,,,,,,0.227,,,12.5,,15.6,,18.9,13.0,23.2,17.5,0.91,2.1,,6.8,6.8,1.1,1.9,20.0,18.0,3.0,7.0,100.0
3,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Yes,N,Yes,Y,Y,Yes,15.5,9.03,0.4,4.78,2.5,0.11,5.83,,1.06,14.4,2.19,10.3,0.92,0.85,8.1,0.11,14.9,137.9,5.7,1.4680000000000002,0.8140000000000001,0.267,,1.4240000000000002,0.511,-2.7,16.7,-12.3,,14.5,4.5,18.3,12.4,20.2,16.5,0.94,12.6,,6.8,5.2,0.5,11.1,22.0,66.0,1.0,9.0,100.0
2,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.1,11.64,0.37,5.56,2.9,0.16,4.81,,1.32,17.5,2.21,15.0,0.99,0.86,8.3,0.1,15.5,,4.86,0.0,2.2030000000000003,0.685,,0.0,0.387,-12.5,16.9,-16.1,,15.3,5.4,19.9,12.2,22.3,19.7,1.0,10.2,41.5,,8.5,1.3,4.6,85.0,87.0,6.0,4.0,99.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.4,10.93,0.37,5.79,3.0,0.16,3.51,,1.12,12.7,2.19,11.5,0.91,0.86,8.4,0.1,13.0,,4.52,,0.7859999999999999,2.1830000000000003,,,1.196,3.2,17.4,-0.1,,14.4,4.0,19.4,12.0,20.4,13.9,0.92,10.8,38.5,4.7,7.6,0.5,3.8,18.0,66.0,3.0,7.0,97.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Yes,Y,Yes,N,Y,Yes,14.3,18.63,0.39,7.4,3.0,0.12,4.43,,1.03,14.1,1.97,10.7,1.19,0.78,8.3,0.11,13.7,127.35,3.99,1.868,1.951,0.953,1.13,0.657,1.159,,,16.5,,14.8,4.6,18.0,11.9,20.3,17.3,1.05,29.9,42.6,,7.0,1.0,0.0,66.0,72.0,4.0,14.0,89.0
3,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,16.7,14.3,0.36,4.59,3.5,0.09,6.15,,0.98,14.8,2.67,13.0,1.03,0.81,10.0,0.09,14.7,140.57,4.82,0.943,0.639,1.741,0.436,2.915,0.955,20.4,16.3,11.6,,14.8,5.3,20.5,13.8,19.9,14.8,0.95,12.6,37.0,3.3,4.5,2.5,0.4,40.0,68.0,6.0,,
4,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,15.2,,0.45,,,0.23,,,,15.5,,11.5,1.0,,9.1,0.1,,,,,,,,,0.598,,,13.8,,14.8,,20.1,13.1,21.1,15.7,0.95,6.9,,,15.9,0.0,5.4,19.0,46.0,3.0,16.0,96.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,18.0,12.46,0.39,6.33,,0.22,4.05,,1.11,14.6,2.22,11.6,1.01,0.86,7.2,0.12,,,4.63,,,,,,1.453,,,15.4,,15.1,,19.3,12.3,22.8,17.6,1.02,9.9,,5.3,13.8,,6.4,23.0,57.0,2.0,7.0,92.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Yes,Y,Yes,Y,Y,Yes,17.2,16.39,0.32,3.48,2.0,0.05,2.17,4.8,1.78,14.5,1.93,11.5,0.92,0.76,7.4,0.09,16.2,174.49,6.46,1.246,0.629,1.104,0.772,0.8109999999999999,1.287,13.2,17.4,17.2,14.4,15.3,4.1,19.0,14.3,21.0,19.4,0.99,3.6,45.8,4.8,9.1,0.6,0.2,30.0,69.0,2.0,,
3,GA,Acute Care Hospitals,Government - Local,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Yes,Y,Yes,Y,Y,Yes,17.5,16.1,0.45,5.1,1.7,0.33,4.79,2.7,0.71,13.5,2.28,10.1,1.11,1.07,9.3,0.1,12.8,157.46,5.91,0.307,0.6559999999999999,0.8240000000000001,0.966,0.603,0.895,6.1,15.0,5.5,12.9,15.3,4.8,21.1,11.4,19.7,16.6,0.92,3.2,42.1,5.4,8.9,1.6,0.2,22.0,60.0,1.0,6.0,94.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,15.9,19.11,0.41,7.77,2.9,0.11,3.47,,1.06,16.9,2.18,9.3,1.19,0.86,7.6,0.1,13.4,143.88,4.48,1.86,1.247,0.97,,0.6990000000000001,0.975,33.0,16.6,4.6,,15.3,3.9,17.2,12.2,21.1,17.6,0.96,4.7,,4.8,7.8,1.8,0.5,8.0,41.0,0.0,8.0,100.0
2,GA,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,19.4,,0.39,,3.2,0.13,3.7,,,14.8,2.16,12.3,0.95,0.85,7.5,0.1,15.4,,5.45,1.569,1.036,1.359,,3.155,0.529,4.2,16.1,8.9,,15.7,4.6,20.0,11.6,23.4,18.8,1.04,2.1,,4.9,4.2,0.9,1.0,16.0,79.0,0.0,11.0,100.0
4,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,11.9,,0.43,,3.0,0.16,5.25,,,14.8,2.24,10.4,1.02,0.87,8.0,0.1,13.6,,4.54,0.0,,0.898,,,1.967,,,3.0,,15.2,5.2,19.9,12.2,20.7,15.9,0.94,4.1,,2.1,21.4,0.7,5.2,43.0,84.0,2.0,9.0,100.0
2,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,16.6,15.82,0.46,6.97,3.2,0.1,7.58,4.2,1.11,18.3,1.99,11.3,1.25,0.78,9.8,0.1,12.8,138.33,4.43,1.7919999999999998,3.159,1.3130000000000002,,1.206,0.934,44.9,16.4,-7.4,13.0,15.7,4.5,19.6,12.5,20.6,18.0,1.02,11.6,44.3,5.1,4.7,0.5,0.1,54.0,52.0,4.0,,
3,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,14.7,17.32,0.36,4.68,2.6,0.04,4.42,2.3,1.23,16.1,1.86,10.4,1.05,1.11,8.0,0.11,12.9,138.59,5.26,0.6459999999999999,1.1,0.585,1.101,0.243,0.981,25.3,17.3,21.4,14.5,15.7,4.9,19.4,12.3,21.5,16.7,0.98,6.0,36.2,4.4,12.7,1.2,0.1,28.0,44.0,1.0,7.0,92.0
3,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Yes,N,Yes,Y,Y,Yes,14.1,16.58,0.33,12.14,2.4,0.06,7.33,5.4,0.99,15.6,1.87,11.8,1.49,1.1,9.0,0.09,15.7,154.05,7.09,0.977,1.144,1.46,0.903,1.351,1.493,-10.4,15.8,28.9,14.7,14.5,4.5,17.3,12.4,22.7,14.7,0.98,28.4,34.2,3.2,10.2,0.9,15.4,33.0,55.0,3.0,,
4,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Yes,N,Yes,N,Y,Yes,14.0,11.28,0.33,6.0,3.0,0.46,3.51,,1.35,13.3,2.08,11.7,0.99,0.81,6.8,0.1,14.1,143.77,4.94,1.308,0.0,0.589,0.0,0.89,0.846,33.3,16.2,30.0,,14.9,5.6,18.7,13.3,21.4,16.1,1.0,27.9,39.2,3.3,8.6,0.9,23.2,45.0,76.0,4.0,,
3,GA,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,,Yes,N,No,N,Y,Yes,17.8,11.96,0.38,6.13,3.2,0.19,3.61,,1.31,,2.21,12.9,0.98,0.86,10.2,0.1,,,4.98,0.0,,0.501,0.0,,0.328,,,17.3,,15.6,4.4,21.0,,22.0,16.3,0.97,6.7,,,13.9,,6.3,30.0,54.0,4.0,13.0,100.0
2,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,18.5,,0.39,,,0.23,4.97,,,,,12.9,0.99,,7.7,0.1,,,4.73,,,,,,0.0,,,-1.4,,15.2,,20.4,,21.7,16.7,0.94,3.8,,,9.9,0.0,4.0,30.0,52.0,2.0,12.0,97.0
3,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.9,20.47,0.5,7.95,2.8,0.2,3.75,,1.11,15.3,2.2,13.7,1.28,0.86,8.1,0.12,,,4.58,,,3.771,,,1.08,,,2.2,,15.3,4.1,19.0,13.8,23.1,20.2,0.95,4.2,48.5,5.6,10.2,1.9,0.5,25.0,64.0,2.0,0.0,97.0
4,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Yes,Y,Yes,Y,Y,Yes,14.2,12.37,0.43,5.7,2.8,0.17,4.39,,1.11,,2.2,10.1,0.99,0.86,6.8,0.1,13.9,,4.59,0.7809999999999999,0.0,0.0,,,1.132,,,5.8,,15.7,5.1,19.5,,23.6,16.0,0.89,5.8,,5.4,9.8,1.7,0.1,22.0,42.0,1.0,6.0,94.0
